Hospital Name,City,State Code,Zip Code,County,Rural Versus Urban,CCN Facility Type,Provider Type,Type of Control,Fiscal Year Begin Date,Fiscal Year End Date,FTE - Employees on Payroll,Total Days (V + XVIII + XIX + Unknown),Number of Beds,Total Bed Days Available,Total Discharges (V + XVIII + XIX + Unknown),Number of Beds + Total for all Subproviders,Total Bad Debt Expense,Total Unreimbursed and Uncompensated Care,Total Costs,Combined Outpatient + Inpatient Total Charges,Less Total Operating Expense,Cost To Charge Ratio,Net Patient Revenue,Net Income from Service to Patients,Net Income,Staff Per Bed,Clinical Operating Margin,Net Revenue Per Bed,State Name,Operating Expense Ratio,Size Category
IRWIN COUNTY HOSPITAL,OCILLA,GA,31774,IRWIN,R,STH,1,9,2022-12-01,2023-01-31,97.15,286.0,34.0,2108.0,77.0,64.0,,23092.0,2463462.0,5773515.0,3033643.0,0.426683,1557790.0,-1475853.0,-1248820.0,1.51796875,-0.947401767889125,24340.46875,Georgia,1.947401767889125,Small
LAKE BEHAVIORAL HOSPITAL,WAUKEGAN,IL,60085,LAKE,U,PH,4,5,2022-10-01,2022-12-31,227.95,10311.0,161.0,14812.0,1057.0,161.0,,,8111462.0,23333319.0,8585822.0,,9784298.0,1198476.0,2632879.0,1.41583850931677,0.12248972792938237,60772.03726708075,Illinois,0.8775102720706176,Medium
EVEREST REHABILITATION HOSPITAL BENT,ROGERS,AR,72758-1347,BENTON,U,RH,5,6,2023-01-01,2023-02-28,74.54,895.0,36.0,2124.0,63.0,36.0,,,2795440.0,2982529.0,2447938.0,,1450453.0,-997485.0,-518505.0,2.070555555555556,-0.6877058408648884,40290.36111111111,Arkansas,1.6877058408648884,Small
OCEANS BEHAVIORAL HOSPITAL CORPUS CH,CORPUS CHRISTI,TX,78404,NUECES,U,PH,4,4,2022-11-17,2022-12-31,68.01,1041.0,42.0,1890.0,137.0,42.0,,,1965696.0,1703505.0,3445228.0,,1261761.0,-2183467.0,-2183297.0,1.6192857142857144,-1.7304917492298462,30041.928571428572,Texas,2.7304917492298464,Small
WILLIAMSBURG REGIONAL HOSPITAL,KINGSTREE,SC,29556,WILLIAMSBURG,R,CAH,1,2,2022-10-01,2023-01-16,181.03,713.0,25.0,2725.0,90.0,25.0,1209905.0,654829.0,7503553.0,13594441.0,8676352.0,0.551957,5422988.0,-3253364.0,-3260557.0,7.2412,-0.5999209291999171,216919.52,South Carolina,1.599920929199917,Small
PAM REHAB HOSP OF GEORGETOWN,GEORGETOWN,DE,19947,SUSSEX,U,RH,5,5,2023-01-27,2023-04-30,81.59,1713.0,34.0,3196.0,187.0,34.0,,,3683530.0,5735240.0,3855107.0,,4011155.0,156048.0,156048.0,2.3997058823529414,0.038903507842504216,117975.14705882352,Delaware,0.9610964921574958,Small
SAN CARLOS APACHE HEALTHCARE CORP,PERIDOT,AZ,85542,GRAHAM,R,STH,1,7,2022-10-01,2023-01-09,820.0,483.0,12.0,1212.0,136.0,12.0,,,22963832.0,216023.0,33070576.0,,,-33070576.0,-33070576.0,68.33333333333333,,,Arizona,,Small
BACHARACH INSTITUTE FOR REHABILITATI,POMONA,NJ,08240-0723,ATLANTIC,U,RH,5,2,2023-01-01,2023-03-30,52.38,737.0,80.0,7120.0,54.0,80.0,,,8333525.0,8469305.0,8364045.0,,2744837.0,-5619208.0,-4070092.0,0.65475,-2.047191873324354,34310.4625,New Jersey,3.047191873324354,Medium
EVEREST REHABILITATION HOSPITAL LONG,LONGVIEW,TX,75605,GREGG,U,RH,5,6,2023-01-01,2023-02-28,71.91,1565.0,36.0,2124.0,125.0,36.0,,,3293256.0,5071213.0,3026991.0,,2411560.0,-615431.0,-614260.0,1.9974999999999998,-0.25520036822637626,66987.77777777778,Texas,1.2552003682263764,Small
SSH - SPRINGFIELD INC.,SPRINGFIELD,MO,65804,GREENE,U,LTCH,2,4,2022-11-01,2023-01-31,43.2,3660.0,44.0,4048.0,128.0,44.0,,,6600654.0,37283793.0,6624999.0,,6493196.0,-131803.0,80850.0,0.9818181818181819,-0.020298632599416375,147572.63636363635,Missouri,1.0202986325994163,Small
EAST VALLEY ER AND HOSPITAL,GILBERT,AZ,85295,MARICOPA,U,STH,1,4,2022-10-14,2023-01-31,59.99,151.0,14.0,1540.0,70.0,14.0,,,3575513.0,19198646.0,5141619.0,0.186238,1699864.0,-3441755.0,-3438200.0,4.285,-2.024723742605291,121418.85714285714,Arizona,3.024723742605291,Small
ST. LUKES HOSPITAL,MAUMEE,OH,43537-,LUCAS,R,STH,1,2,2022-10-01,2023-05-08,765.03,10173.0,83.0,18260.0,2316.0,83.0,,10969737.0,91146379.0,226568542.0,110897542.0,0.402291,62879043.0,-48018499.0,-44624987.0,9.21722891566265,-0.7636645964856685,757578.8313253012,Ohio,1.7636645964856685,Medium
SOUTHWEST GENERAL HOSPITAL,SAN ANTONIO,TX,78224,BEXAR,U,STH,1,4,2022-10-01,2023-04-30,632.4,24539.0,193.0,40916.0,4534.0,209.0,6448735.0,8484683.0,53955049.0,366562378.0,81435922.0,0.147192,66113127.0,-15322795.0,-9315920.0,3.0258373205741624,-0.23176630262852338,316330.75119617226,Texas,1.2317663026285233,Medium
